date,vehicle,id,payload,mass(t),site,orbit
09/14/13,Epsilon        ,1,Sprint A              ,0.35,KA M5, LEO
12/28/13,Soyuz 2-1v/Volg,1,Aist                  ,0.2?,PL 43/4, LEO
02/02/09,Safir   ,2,Omid (2),0.025,SE        , LEO
06/27/13,Strela         ,2,Kondor                ,~1.0,TB 175/59, LEO
06/15/11,Safir             ,3,Rassad          ,0.015,SE        , LEO
05/19/09,Minotaur,8,TacSat 3,0.4,WI 0-B, LEO
07/29/09,Dnepr   ,13,"6 sats (Dubaisat 1,",0.423,TB 109/95, LEO/S
08/17/11,Dnepr             ,17,Multipayload    ,          ,DO        , LEO/S
01/15/13,Rokot/Briz KM  ,18,Kosmos 2482-84 (Rodnik,0.675,PL 133/3,LEO [1a]
08/22/13,Dnepr          ,18,Kompsat 5,1.40,DO 370/13, LEO/S
09/11/13,Rokot/Briz KM  ,19,3xGonets-M,0.84,PL 133/3, LEO 
11/21/13,Dnepr          ,19,Multipayload          ,        ,DO 370/13, LEO/S
11/22/13,Rokot/Briz KM  ,20,3xSwarm,1.419,PL 133/3, LEO/S  
12/25/13,Rokot/Briz KM  ,21,Kosmos 2488-90 (Rodnik,0.675,PL 133/3, LEO
02/11/13,Soyuz U        ,180,Progress M-18M,7.2,TB 1/5, LEO/ISS 
03/28/13,Soyuz FG       ,180,Soyuz TMA-08M,7.2,TB 1/5, LEO/ISS
04/19/13,Soyuz 2-1a,180,BION-M1,6.5,TB 31/6, LEO
04/24/13,Soyuz U        ,180,Progress M-19M,7.2,TB 1/5, LEO/ISS 
05/28/13,Soyuz FG       ,180,Soyuz TMA-09M,7.2,TB 1/5, LEO/ISS
06/07/13,Soyuz 2-1b,180,Persona               ,6.5,PL 43/4, LEO
06/25/13,Soyuz 2-1b,180,Resurs P1,6.58,TB 31/6, LEO
07/27/13,Soyuz U        ,180,Progress M-20M,7.2,TB 31/6, LEO/ISS
09/25/13,Soyuz FG       ,181,Soyuz TMA-10M,7.2,TB 1/5, LEO/ISS
11/07/13,Soyuz FG       ,181,Soyuz TMA-11M,7.2,TB 1/5, LEO/ISS
11/25/13,Soyuz U        ,181,Progress M-21M,7.2,TB 31/6, LEO/ISS
02/10/09,Soyuz U ,1740,Progress M66/ISS32P,7.25,TB 31/6, LEO/ISS
03/26/09,Soyuz FG,1741,Soyuz TMA-14 (ISS18S,7.25,TB 1/5, LEO/ISS
04/29/09,Soyuz-U ,1742,Kosmos 2450 (Kobal't,        ,PL        , LEO
05/07/09,Soyuz-U ,1743,Progress M-02M/ISS33,7.12,TB 5/1, LEO/ISS
05/21/09,Soyuz 2-,1744,Meridan 2,        ,PL 43/4,[EEO] (3)
05/27/09,Soyuz FG,1745,Soyuz TMA 15,7.25,TB 1/5, LEO/ISS
07/24/09,Soyuz U ,1746,Progress M-67 (ISS 3,7.285,TB 1/5, LEO/ISS
09/17/09,Soyuz 2-,1747,Meteor M1 +6microsat,2.7,TB 31/6, LEO/S
09/30/09,Soyuz-FG,1748,Soyuz TMA-16,7.25,TB 1/5, LEO/ISS
10/15/09,Soyuz U ,1749,Progress M-03M,7.2,TB 5/1, LEO/ISS
11/10/09,Soyuz U ,1750,Progress M-MRM2,7.1,TB 1/5, LEO/ISS
11/20/09,Soyuz U ,1751,Kosmos 2455 (Lotos-s,6.9?,PL 16/2, LEO
12/20/09,Soyuz FG,1752,Soyuz TMA-17,7.25,TB 1/5, LEO/ISS
02/03/10,Soyuz-U         ,1753,Progres,7.4,TB 1/5, LEO/ISS
